,comfort,surprise,anxiety,calmness,boredom,ECG_Rate,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,EDA_Phasic_Mean,EDA_Phasic_Std,EDA_Tonic_Mean,EDA_Tonic_std,SCR_Onsets,SCR_Magnitude,SCR_Amplitude_Mean,SCR_RiseTime_Mean,SCR_RecoveryTime_Mean,Pupil_Mean,Pupil_Std,s_id,t_id
15,2,0.1337792575,0.1856187284,1.958194017,0.1237458214,117.5537149,6.605782591,510.2608696,7.21877219,6.750981971,0.1908453553,0.4517770132,-0.4943604047,0.2018138467,0.25,2.369113926,0.002445821681,0.004272,0.0005817211474,35.44575039,2.350971179,P15,8
16,2,0.1755852848,0.1137123778,1.842809319,0.1220735759,116.6722307,9.34198733,514.7826087,19.08582654,9.29739525,-0.01146544384,0.3871252263,-0.5894328331,0.2032345235,0.08333333333,0.0268969743,1.79E-05,0.00016,0.000864,35.16118071,2.433124003,P15,8
17,2,0.1454849541,0.02173913084,1.919732451,0,118.0746035,6.605782591,507.4782609,6.302016742,6.668398044,-0.007616824334,0.4917096463,-0.70140586,0.1174535997,0.1666666667,1.109715158,0.001447132825,0.00304,0.001466666667,36.17233892,2.46385687,P15,8
18,2,0.05685618892,0.09866220504,1.841137171,0.07525083423,123.1525909,7.077213895,487.3333333,7.044372818,7.201229583,0.07699370639,0.365188345,-0.5929426382,0.1781105523,0.1666666667,1.728893311,0.001769326321,0.003653333333,0.001344,35.01509179,1.849286101,P15,8
19,2,0.08193980157,0.1337792575,1.867892981,0.1337792575,122.5378441,7.032392584,490.0869565,8.769332117,7.188254007,-0.05294659115,0.5975987009,-0.5358494667,0.09115906749,0.08333333333,0.982326165,0.0007392611835,0.002437333333,0.001312,34.49118526,1.944199324,P15,8
20,2,0,0.1103678942,1.827759147,0.1003344506,120.4065796,8.696916904,498.0869565,6.014475292,8.901578244,0.07327799079,0.3998534904,-0.537366017,0.03657470602,0.1666666667,2.122665119,0.002263582801,0.004741333333,0.0008853333333,34.40651218,1.864703046,P15,8
21,2,0.08695652336,0.1220735759,1.923076868,0.09531772882,122.3448574,8,489.7391304,6.36194218,8.188261052,0.1155849628,0.3306957699,-0.6580060565,0.24459834,0.25,1.038185254,0.001400754284,0.003658666667,0.002469333333,35.78852466,2.11854028,P15,8
22,2,0.1120401323,0.07357859612,1.857859492,0.1070234105,122.5564319,9.025217197,489.3913043,10.41737679,9.116846117,0.004007143126,0.4724769434,-1.134468962,0.0962627212,0.1666666667,0.159024567,0.0001324291231,0.0005866666667,0.0009493333333,35.11098331,2.075409218,P15,8
23,2,0.08695652336,0.09698996693,1.916387916,0.04013377801,123.8730952,6.381792282,483.826087,6.766576776,6.531972647,-0.05609791906,0.4825163486,-1.034353759,0.0600332386,0.08333333333,0.5902581463,0.0003935054309,0.001269333333,0.000288,35.04447084,1.60718535,P15,8
1,2,0.1220735759,0.08193980157,1.913043499,0.04013377801,116.6594648,8.372289896,512.7272727,8.519902851,8.570158636,-0.02272758811,0.8103533018,0.07718660853,0.1553784293,0.25,2.858978533,0.005103228004,0.006650666667,0.001333333333,34.99724648,2.271434777,P15,9
2,2,0.02675585262,0.071906358,1.829431415,0.03846153989,117.7503193,7.032392584,509.2173913,7.077213895,7.188254007,0.02857468668,0.4896915493,0.6778279515,0.1166949892,0.1666666667,0.1408629828,0.0001543580669,0.0008586666667,0.0006506666667,36.19600819,2.706745455,P15,9
3,2,0.1003344506,0.09698996693,1.794314384,0.01672240719,120.4369619,8.82683655,498,5.897678246,9.025217197,0.2128542425,0.6145036429,0.296801526,0.1668179575,0.08333333333,2.05386815,0.001427353582,0.001744,0.001856,35.36955493,1.95067741,P15,9
4,2,0.6588628888,0.1304347813,1.867892981,0.1003344506,115.9704008,6.761234038,518.1818182,6.953151828,6.828511655,-0.03008255211,1.035422152,0.1282080456,0.3511600729,0.1666666667,0.1588011926,0.0001426796276,0.0004906666667,0.0004,34.36201252,1.765765651,P15,9
5,2,0.08026755601,0.1170568541,1.730769277,0.06688962877,113.3907314,10.58300524,528,14.31083506,10.6622798,0.01726653659,0.901680492,0.7198403215,0.05901233672,0.1666666667,2.89511155,0.002114653145,0.00304,0.0001493333333,34.05018268,1.99209102,P15,9
6,2,0.1906354576,0.07023411244,1.876254201,0.1036789268,115.9391674,6.982972488,517.0909091,10.34135982,7.112698236,-0.001274295039,0.6853362945,0.362034083,0.1752739132,0.08333333333,0.2819438217,0.0002570834652,0.0007626666667,0.0006826666667,34.42797946,2.146998017,P15,9
7,2,0.04013377801,0.04515050352,1.921404719,0.07692307979,117.5772916,6.822422923,509.9130435,8.078664626,6.943183147,-0.1199148229,0.3712367995,0.3946587664,0.1316263688,0.1666666667,0.1506467395,0.0001277543097,0.0005706666667,0.00136,35.67253748,2.527317813,P15,9
8,2,0.09197324514,0.2575250864,2,0.04013377801,115.4103729,11.4476032,520.3636364,19.35765003,11.19183376,-0.07844890128,0.6268987169,0.7143203847,0.07273020538,0.08333333333,0.20774647,0.0001384976466,0.0005386666667,0.0003253333333,34.82826541,2.664364732,P15,9
9,2,0.1705685556,0.162207365,1.802675605,0.1521739066,114.4308436,6.29436634,523.6363636,9.147185123,6.437982529,0.05226683998,0.6770519389,0.7251146568,0.02386929445,0.08333333333,1.972659998,0.001494378025,0.003210666667,0.001093333333,35.93775556,2.959241811,P15,9
10,2,0.162207365,0.09866220504,1.707357883,0.09698996693,116.6371511,8.901578244,514.1818182,13.78624699,8.986762752,0.1094151159,0.5828927373,0.5013294832,0.07457495151,0.1666666667,1.029023329,0.0007129147351,0.001930666667,0.0006773333333,34.89107217,1.933814105,P15,9
11,1.966555238,0.1688963175,0.142140463,1.79765892,0.1839464903,113.8801774,6.531972647,526.1818182,8.878204257,6.647591759,0.0266242506,0.8721291071,0.2957649899,0.2563786378,0.1666666667,0.2528887821,0.0001685925214,0.0004,0.000128,34.94988446,2.161104206,P15,9
12,2,0.5334448218,0.3093645573,1.782608747,0.09030100703,113.3922372,8.188261052,529.8181818,9.540072694,8.243901065,-0.2322461128,0.9160335011,-0.4938917225,0.3450208207,0.1666666667,3.370281344,0.00237754534,0.003450666667,0.0009226666667,34.39198061,2.326975964,P15,9
